p,t_avg,h,k,num_trials,error_avg,error_abs_mean
1,0.0002999703089396159,0.5,0.5,30,0.0,0.0
2,0.0004996617635091145,0.25,0.25,30,9.473903143468002e-16,9.473903143468002e-16
3,0.0017693281173706056,0.125,0.125,30,-2.2059333299741673e-16,1.0797463141452502e-15
4,0.008321340878804524,0.0625,0.0625,30,4.1163349219613646e-16,2.6027902352709554e-15
5,0.030643518765767416,0.03125,0.03125,30,4.488510055733967e-16,8.735203702561232e-15
6,0.13043994108835857,0.015625,0.015625,30,4.181037679990388e-14,4.3474241631943184e-14
7,0.5790367921193441,0.0078125,0.0078125,30,9.921140212163864e-15,4.5570440713673914e-14
8,2.5549432277679442,0.00390625,0.00390625,30,-1.8989425861096604e-14,1.1843380008765283e-13
