p,t_avg,h,k,num_trials,error_avg,error_abs_mean
1,0.000266718864440918,0.5,0.5,30,0.00012009971127125614,0.00012009971127125614
2,0.0009315013885498047,0.25,0.25,30,5.713658201532073e-05,5.713658201532073e-05
3,0.0038550217946370442,0.125,0.125,30,1.8308561496176274e-05,1.8308561496176274e-05
4,0.016937430699666342,0.0625,0.0625,30,5.101917291617716e-06,5.101917291617716e-06
5,0.06897918383280437,0.03125,0.03125,30,1.3415844903667276e-06,1.3415844903667276e-06
6,0.2861647367477417,0.015625,0.015625,30,3.4366139102757316e-07,3.4366139102757316e-07
7,1.2341646512349447,0.0078125,0.0078125,30,8.694745609694531e-08,8.694745609694531e-08
8,5.3771781762441,0.00390625,0.00390625,30,2.186491594865418e-08,2.186491594865418e-08
